beer,link,score,style
Namgay Bhutanese Milk Stout,/beer/namgay-bhutanese-milk-stout/522909/,3.25,Sweet Stout
Namgay Bhutanese IPA,/beer/namgay-bhutanese-ipa/522908/,3.24,India Pale Ale (IPA)
Ser Bhum Dragon Stout,/beer/ser-bhum-dragon-stout/522158/,3.23,Stout
Ser Bhum Bhutan Glory - Amber Ale,/beer/ser-bhum-bhutan-glory-amber-ale/522160/,3.22,Amber Ale
Some Farmer's Sin Chang,/beer/some-farmers-sin-chang/522926/,3.19,Traditional Ale
Namgay Bhutanese Dark Ale ,/beer/namgay-bhutanese-dark-ale/522912/,3.13,Brown Ale
Namgay Bhutanese Red Rice Lager ,/beer/namgay-bhutanese-red-rice-lager/522910/,3.09,Specialty Grain
Namgay Bhutanese Apple Cider,/beer/namgay-bhutanese-apple-cider/522911/,3.07,Cider
Bumthang Pure Applewine,/beer/bumthang-pure-applewine/521407/,2.98,Cider
Some Farmer's Bang Chang,/beer/some-farmers-bang-chang/522927/,2.71,Traditional Ale
Kinjore Thunder 15000,/beer/kinjore-thunder-15000/520850/,2.42,Malt Liquor
Bumthang Red Panda Weissbier (Weiss Beer),/beer/bumthang-red-panda-weissbier-weiss-beer/29125/,2.39,German Hefeweizen
Druk Supreme,/beer/druk-supreme/372624/,2.30,Pale Lager
Druk Lager,/beer/druk-lager/372259/,2.22,Pale Lager
Kinjore Dragon Frost,/beer/kinjore-dragon-frost/500771/,2.13,Pale Lager
Druk 11000 Strong,/beer/druk-11000-strong/84262/,1.96,Malt Liquor
Bhutan Premium Lager Beer,/beer/bhutan-premium-lager-beer/111662/,n/a,Premium Lager
Bumthang Red Panda Lager Beer,/beer/bumthang-red-panda-lager-beer/13864/,n/a,Pilsener
