beer,link,score,style
Guinness Foreign Extra Stout (Nigeria),/beer/guinness-foreign-extra-stout-nigeria/19432/,3.41,Foreign Stout
Legend Extra Stout (Nigeria),/beer/legend-extra-stout-nigeria/13749/,3.12,Foreign Stout
Turbo King (Nigeria),/beer/turbo-king-nigeria/201448/,3.10,Foreign Stout
Williams Dark Ale (Nigeria),/beer/williams-dark-ale-nigeria/201456/,3.01,Foreign Stout
Trophy Black Lager,/beer/trophy-black-lager/254000/,2.95,Dunkel/Tmav�
Guinness Extra Smooth (Nigeria),/beer/guinness-extra-smooth-nigeria/100785/,2.91,Foreign Stout
33 Export (Nigeria),/beer/33-export-nigeria/232584/,2.64,Pale Lager
Dubic Extra Lager Beer,/beer/dubic-extra-lager-beer/234011/,2.63,Pale Lager
Star Lite (Nigeria),/beer/star-lite-nigeria/251079/,2.63,Pale Lager
Satzenbrau Premier Pilsner (Nigeria),/beer/satzenbrau-premier-pilsner-nigeria/251860/,2.60,Pale Lager
Kronenbourg (Nigeria),/beer/kronenbourg-nigeria/102415/,2.60,Specialty Grain
Goldberg Premium Lager Beer,/beer/goldberg-premium-lager-beer/231930/,2.58,Pale Lager
Harp (Nigeria),/beer/harp-nigeria/100862/,2.35,Specialty Grain
Hero Premium Lager (Nigeria),/beer/hero-premium-lager-nigeria/252086/,2.30,Pale Lager
Trophy Premium Quality Lager Beer,/beer/trophy-premium-quality-lager-beer/232458/,2.24,Pale Lager
Gulder Lager (Nigeria),/beer/gulder-lager-nigeria/12805/,2.08,Pale Lager
Wilfort Dark Ale (Nigeria),/beer/wilfort-dark-ale-nigeria/102414/,2.00,Brown Ale
Star Lager (Nigeria),/beer/star-lager-nigeria/12804/,1.99,Pale Lager
Tusk Lager Beer,/beer/tusk-lager-beer/102413/,n/a,Specialty Grain
Champion Lager Beer,/beer/champion-lager-beer/99775/,n/a,Pale Lager
More Quality Lager Beer,/beer/more-quality-lager-beer/99776/,n/a,Specialty Grain
Castle Lager (Nigeria) ,/beer/castle-lager-nigeria/251865/,n/a,Pale Lager
Castle Milk Stout (Nigeria),/beer/castle-milk-stout-nigeria/251864/,n/a,Sweet Stout
Orijin,/beer/orijin/449523/,n/a,Radler/Shandy
Pal Nigeria Lager,/beer/pal-nigeria-lager/13893/,n/a,Pale Lager
